Ahaetulla pulverulenta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	pulverulenta	DUMRIL & BIBRON	1854	Brown-speckled Whipsnake	India	Yes	No
Ahaetulla pulverulenta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	pulverulenta	DUMRIL & BIBRON	1854	Brown-speckled Whipsnake	Bangladesh	Yes	No
Ahaetulla pulverulenta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	pulverulenta	DUMRIL & BIBRON	1854	Brown-speckled Whipsnake	Sri Lanka	Yes	No
Aipysurus apraefrontalis	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	apraefrontalis	SMITH	1926	Short-nosed Seasnake, Sahul Reef Snake	Australia	Yes	Yes
Aipysurus duboisii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	duboisii	BAVAY	1869	Reef shallows seasnake	Indonesia	Yes	Yes
Aipysurus duboisii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	duboisii	BAVAY	1869	Reef shallows seasnake	Australia	Yes	Yes
Aipysurus duboisii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	duboisii	BAVAY	1869	Reef shallows seasnake	New Caledonia	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	China	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	India	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Indonesia	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Vietnam	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Thailand	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Malaysia	Yes	Yes
Aipysurus eydouxii	Elapidae (Hydrophiinae), Serpentes (snakes)	Aipysurus	eydouxii	GRAY	1849	Spine-tailed seasnake	Australia	Yes	Yes
