Argyrophis koshunensis	Koshun Worm Snake	OSHIMA	1916	No	No
Argyrophis muelleri	Mllers Blind Snake	SCHLEGEL	1839	No	No
Argyrophis oatesii	Andaman Island Worm Snake	BOULENGER	1890	No	No
Argyrophis roxaneae		WALLACH	2001	No	No
Argyrophis siamensis	Thailand Worm Snake, Siamese Blind Snake	GNTHER	1864	No	No
Argyrophis trangensis	Trang Worm Snake, Trang Blind Snake	TAYLOR	1962	No	No
Arizona elegans	arenico	KENNICOTT	1859	No	No
Arrhyton ainictum	Cuban Island Racer	SCHWARTZ & GARRIDO	1981	No	No
Arrhyton dolichura	Habana Island Racer	WERNER	1909	No	No
Arrhyton procerum	Zapata Long-tailed Groundsnake	HEDGES & GARRIDO	1992	No	No
Arrhyton redimitum		COPE	1863	No	No
Arrhyton supernum	Oriente Black Groundsnake	HEDGES & GARRIDO	1992	No	No
Arrhyton taeniatum	Gnther's Island Racer	GNTHER	1858	No	No
Arrhyton tanyplectum	San Vincente Island Racer	SCHWARTZ & GARRIDO	1981	No	No
Arrhyton vittatum	Common Island Racer	GUNDLACH	1861	No	No
Aspidelaps lubricus	cowle	LAURENTI	1768	Yes	No
Aspidelaps scutatus	scutat	SMITH	1849	Yes	No
Aspidites melanocephalus	Black-headed Python	KREFFT	1864	No	No
Aspidites ramsayi	Woma Python	MACLEAY	1882	No	No
Aspidomorphus lineaticollis	Striped crown snake	WERNER	1903	Yes	No
Aspidomorphus muelleri	Mllers crown snake	SCHLEGEL	1837	Yes	No
Aspidomorphus schlegelii	Schlegels crown snake	GNTHER	1872	Yes	No
Aspidura brachyorrhos	Boie's Rough-sided Snake	BOIE	1827	No	No
Aspidura ceylonensis	Ceylon Keelback	GNTHER	1858	No	No
Aspidura copei		GNTHER	1864	No	No
Aspidura deraniyagalae	Sri Lanka Rough-sided Snake	GANS & FETCHO	1982	No	No
Aspidura drummondhayi	Drummond-Hay's Rough-sided Snake	BOULENGER	1904	No	No
Aspidura guentheri	Gnther's Rough-sided Snake	FERGUSON	1876	No	No
Aspidura trachyprocta	Common Rough-sided Snake	COPE	1860	No	No
Asthenodipsas laevis	Smooth Slug Snake	BOIE	1827	No	No
Asthenodipsas lasgalenensis	Mirkwood Forest Slug Snake	LOREDO, WOOD, QUAH, ANUAR, GREER, AHMAD & GRISMER	2013	No	No
Asthenodipsas malaccanus	Malayan Slug Snake	PETERS	1864	No	No
Asthenodipsas tropidonotus	Sumatra Slug Snake	LIDTH DE JEUDE	1923	No	No
Asthenodipsas vertebralis	Asian Slug Snake, Mountain Slug Snake, Mountain Snail Snake	BOULENGER	1900	No	No
Atheris acuminata	Acuminate bush viper	BROADLEY	1998	Yes	Yes
Atheris anisolepis	Mayombe Bush-Viper	MOCQUARD	1887	Yes	Yes
Atheris barbouri	Uzungwe Mountain Bush Viper	LOVERIDGE	1930	Yes	Yes
Atheris broadleyi		LAWSON	1999	Yes	Yes
Atheris ceratophora	Usambara-Buschviper, Gehrnte Buschviper	WERNER	1896	Yes	Yes
Atheris chlorechis		PEL	1851	Yes	Yes
Atheris desaixi	Ashe's Bush Viper	ASHE	1968	Yes	Yes
Atheris hirsuta		ERNST & RDEL	2002	Yes	Yes
Atheris hispida	African Hairy Bush Viper	LAURENT	1955	Yes	Yes
Atheris katangensis	Katanga Mountain Bush Viper	DE WITTE	1953	Yes	Yes
Atheris mabuensis		BRANCH & BAYLISS	2009	Yes	Yes
Atheris matildae	Matilda's Horned Viper	MENEGON, DAVENPORT & HOWELL	2011	Yes	Yes
Atheris nitschei	Great Lakes Bush Viper	TORNIER	1902	Yes	Yes
Atheris rungweensis	Mt Rungwe bush viper	BOGERT	1940	Yes	Yes
Atheris squamigera	Variable Bush Viper, African Bush Viper, Rough-scaled Bush Viper	HALLOWELL	1854	Yes	Yes
Atheris subocularis		FISCHER	1888	Yes	Yes
Atractaspis andersonii	Arabian Small-Scaled Burrowing Asp	BOULENGER	1905	Yes	No
Atractaspis aterrima	Mole Viper, Slender Burrowing Asp	GNTHER	1863	Yes	No
Atractaspis battersbyi	Battersbys Burrowing Asp, Battersbys Mole Viper	DE WITTE	1959	Yes	No
